0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:26 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:26 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:26 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:26 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:26 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:26 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:26 +0530] "GET /JSHOW/laptops/apple/apple2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:00:27 +0530] "GET /JSHOW/laptops/apple/apple3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:01:04 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:01:04 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:01:45 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:01:45 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:05:24 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:05:24 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 1980
